klasse;busch;hutFormAlt;hutFormJung;hutOberflaeche;hutUnterseite;hutUnterseiteFarbe;huVerfaerbung;huVerfaerbungFarbe;hutFarbe;stielForm;stielBasis;stielFarbe;stielOberflaeche;stielNetzFlockenFarbe;stielRing;stielBasisVolva;stielHohl;fleischFarbe;fleischVerfaerbung;fleischVerfaerbungFarbe;geruch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Heiderotkappe;nein;gewölbt;halbkugelig;samtig;Poren;weiss;nein;nein;ziegelrot;zylindrisch;normal;gräulich;schuppig;schwarzbraun;nein;nein;nein;weiss;ja;blaugrün;angenehm;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Butterpilz;nein;gewölbt;halbkugelig;schmierig;Poren;gelb;nein;nein;dunkelbraun;zylindrisch;normal;braun;normal;nein;ja;nein;nein;gelblich;nein;nein;angenehm;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Anischampignon;nein;gewölbt;kugelig;normal;Lamellen;hellgrau;ja;gelb;weiss;zylindrisch;Knolle;weiss;normal;nein;ja;nein;nein;weiss;nein;nein;angenehm;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Anischampignon;nein;gewölbt;kugelig;normal;Lamellen;rosabraun;ja;gelb;weiss;zylindrisch;Knolle;weiss;normal;nein;ja;nein;nein;weiss;nein;nein;angenehm;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Anischampignon;nein;gewölbt;kugelig;normal;Lamellen;dunkelbraun;nein;nein;weiss;zylindrisch;verdickt;weiss;normal;nein;ja;nein;nein;weiss;nein;nein;angenehm;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Anischampignon;nein;gewölbt;kugelig;normal;Lamellen;schwarz;nein;nein;weiss;zylindrisch;verdickt;weiss;normal;nein;ja;nein;nein;weiss;nein;nein;angenehm;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Karbolchampignon;nein;gewölbt;kugelig;normal;Lamellen;rosa;nein;nein;weiss;zylindrisch;knolle;weiss;normal;nein;ja;nein;ja;weiss;ja;gelb;unangenehm;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Karbolchampignon;nein;gewölbt;kugelig;normal;Lamellen;schwarzbraun;nein;nein;weiss;zylindrisch;knolle;weiss;normal;nein;ja;nein;ja;weiss;ja;gelb;unangenehm;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Wiesenchampignon;nein;ausgestreckt;kugelig;normal;Lamellen;rosagrau;nein;nein;weiss;zylindrisch;verdickt;weiss;normal;nein;ja;nein;nein;weiss;ja;rötlich;angenehm;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Kleiner Waldchampignon;nein;ausgestreckt;halbkugelig;schuppig;Lamellen;hellbraun;nein;nein;braun;zylindrisch;normal;weiss;schuppig;weiss;ja;nein;ja;weiss;ja;rot;angenehm;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Kleiner Waldchampignon;nein;ausgestreckt;halbkugelig;schuppig;Lamellen;grau;nein;nein;bräunlich;zylindrisch;verdickt;weiss;normal;weiss;ja;nein;ja;weiss;ja;rot;neutral;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Kleiner Waldchampignon;nein;ausgestreckt;halbkugelig;schuppig;Lamellen;dunkelbraun;nein;nein;braun;zylindrisch;verdickt;weiss;flockig;weiss;ja;nein;ja;weiss;ja;rötlich;neutral;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Schopftintling;nein;kegelig;eifoermig;schuppig;Lamellen;weiss;nein;nein;weiss;zylindrisch;normal;weiss;normal;nein;ja;nein;ja;weiss;nein;nein;neutral;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Schopftintling;nein;kegelig;eifoermig;schuppig;Lamellen;rosa;nein;nein;weissgrau;zylindrisch;normal;weiss;normal;nein;ja;nein;ja;weiss;nein;nein;angenehm;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
